,labels,affiliation_string,paper_id
3656,4210136553,"Instituto de Fisica Rosario, CONICET, Universidad Nacional de Rosario, Rosario, Argentina",W269770743
3840,4210159438,"Instituto Tecnológico de Chascomús (CONICET), C.C. 164, 7130 Chascomús, Buenos Aires, Argentina",W1987944626
3746,4210091080,"Departamento de Bioquímica de la Nutrición, Instituto Superior de Investigaciones Biológicas (Consejo Nacional de Investigaciones Científicas y Técnicas-UNT), Tucumán, Argentina.",W1896364650
7433,3017690349,"Department of Physics, FACENA, Universidad Nacional del Nordeste, Corrientes, Argentina, CIMA, UMI-IFAECI/CNRS, CONICET, Buenos Aires, Argentina",W2010299042
3228,4210108200,"Instituto de Investigaciones Biomédicas en Retrovirus Y Sida (INBIRS), Facultad de Medicina, Consejo de Investigaciones Científicas Y Técnicas (CONICET), Universidad de Buenos Aires, Buenos Aires, Argentina",W4283211305
3474,4210159438,"Instituto Tecnológico Chascomús (INTECH), CONICET-EByNT-UNSAM, Chascomús, Argentina",W4361279571
6073,53241121,"Lab. de Micología Experimental, Dpto. de Biodiversidad y Biología Experimental, Fac. Cs. Exactas y Naturales, PROPLAME - PRHIDEB - CONICET, Universidad de Buenos Aires, C1428EHA Ciudad Universitaria, CABA, Argentina",W1986835041
1266,874386039,"Instituto de Investigaciones Fisicoquímicas Teóricas y Aplicadas (INIFTA), Departamento de Química, Facultad de Ciencias Exactas, Universidad Nacional de La Plata, CONICET - CC 16 Suc. 4, 1900 La Plata, Argentina.",W2041038244
1984,151201029,Instituto de Investigaciones Médicas Mercedes y Martín Ferreyra (INIMEC‐CONICET‐UNC) Universidad Nacional de Córdoba Córdoba Argentina,W2027703774
5504,151201029,"Institut für Festkörperforschung 2 , Forschungszentrum Jülich, D-52425 Jülich, Germany",W1977263823
4582,2883434090,"Department of Physics, University of Illinois at Urbana‐Champaign, 1110 West Green Street, Urbana, Illinois 61801",W2060687759
9035,4210116996,"Universidad Nacional de Rosario, Campo Experimental Villarino S/N, Zavalla, Prov. de Santa Fe, Argentina",W2781854642
4336,71650599,"Instituto de Biología y Medicina Experimental-Consejo Nacional de Investigaciones Cientificas y Técnicas and Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires, Argentina.",W2169841166
9987,151201029,"División Entomología, Facultad de Ciencias Naturales y Museo, Universidad Nacional de La Plata, CONICET, Paseo del Bosque s/n, 1900 La Plata, Argentina.",W3155954431
6073,151201029,"Lab. de Micología Experimental, Dpto. de Biodiversidad y Biología Experimental, Fac. Cs. Exactas y Naturales, PROPLAME - PRHIDEB - CONICET, Universidad de Buenos Aires, C1428EHA Ciudad Universitaria, CABA, Argentina",W1986835041
1887,4210125789,"Universidad Nacional del Sur (DIEC-UNS), Instituto de Investigaciones en Ingeniería Eléctrica (IIIE) “Alfredo Desages” (UNS-CONICET), Bahía Blanca, Argentina",W2325009693
5741,151201029,"Cátedra de Ecología-IFEVA, Departamento de Recursos Naturales y Ambiente, Facultad de Agronomía, Universidad de Buenos Aire/CONICET. Av. San Martín 4453, Buenos Aires C1417DSE Argentina",W2152363720
6766,874386039,"Departamento de Biología Animal, Edafología y Geología, Facultad de Ciencias, Sección Biología, Universidad de La Laguna, Tenerife, Spain",W2521050851
1887,4210125789,"Universidad Nacional del Sur (DIEC-UNS), Instituto de Investigaciones en Ingeniería Eléctrica (IIIE) “Alfredo Desages” (UNS-CONICET), Bahía Blanca, Argentina",W2325009693
7565,4210140090,"General Electric Company, Pittsfield, MassachusettsUSA",W1994957652
5741,4210093681,"Cátedra de Ecología-IFEVA, Departamento de Recursos Naturales y Ambiente, Facultad de Agronomía, Universidad de Buenos Aire/CONICET. Av. San Martín 4453, Buenos Aires C1417DSE Argentina",W2152363720
6371,151201029,"Department of Clinical and Molecular Hepatology, Institute of Medical Research A Lanari‐IDIM,University of Buenos Aires‐National Scientific and Technical Research Council (CONICET),Ciudad Autónoma de Buenos Aires,Argentina",W1848828990
8208,4210086432,"División Aracnología, Museo Argentino de Ciencias Naturales ‘Bernardino Rivadavia’, Buenos Aires, Argentina",W2414203717
4402,70368782,"IEF5-Photovoltaik, Forschungszentrum Jülich, 52425 Jülich, Germany, and Departamento de Electrotecnia, Universidad Nacional del Comahue-CONICET, Buenos Aires 1400, 8300 Neuquen, Argentina",W2047227381
5567,2801076422,"Universidad del CEMA, Ciudad de Buenos Aires",W2031326884
9485,4210134950,Aves Argentinas - Asociación Ornitológica del Plata,W4395411646
1350,4210087179,"Centro Internacional de Métodos Computacionales en Ingenierıa (CIMEC), Instituto de Desarrollo Tecnológico para la Industria Quımica (INTEC), Consejo Nacional de Investigacione ...#TAB#",W2059919683
7122,151201029,"Grupo de Investigación Ecología, Biodiversidad en Ecosistemas Tropicales (EBET) Universidad de La Guajira.",W2907004059
9355,4210134950,Aves Argentinas - Asociación Ornitológica del Plata,W4395423787
7226,4210112930,"Université Côte d'Azur, Laboratoire J.A. Dieudonné, UMR 7351 CNRS, Parc Valrose, F-06108 Nice Cedex 02, France",W2560140212
2850,151201029,"Institute of Cardiologic Research, National Scientific and Research Council (ININCA-CONICET), Faculty of Medicine, University of Buenos Aires, Buenos Aires, Argentina",W2594568835
7827,151201029,"Unidad Ejecutora Lillo, Consejo Nacional de Investigaciones Cientificas y Tecnicas, Fundacion Miguel Lillo, Miguel Lillo 251, 4000, S.M. de Tucuman, Argentina",W2752156864
4840,4210157909,"Authors Marquez and Añon are affiliated with Centro de Investigation y Desarrollo en Criotecnologia de Alimentos (CIDCA) -(CONICET – CIC - UNLP), Facultad de Ciencias Exactas. 47 y 115 La Plata (1900), Provincia de Buenos Aires. Argentina.",W2054924105
9740,4210166371,"From the Institute of Physiology, Faculty of Medical Sciences, University of Buenos Aires",W2602521575
3130,165951966,"Universidad de Buenos Aires. Facultad de Odontología. Cátedra de Anatomía Patológica Buenos Aires, Argentina &amp; CONICET Buenos Aires Argentina",W3134609268
9057,71650599,"From Institute de Biologia y Medicina Experimental, Buenos Aires, Argentina and the National Institutes of Health Bethesda, Maryland",W2108272610
9178,151201029,"Instituto para el Estudio de la Biodiversidad de Invertebrados, Facultad de Ciencias Naturales, Universidad Nacional de Salta, Av. Bolivia 5150, (4400) Salta, Argentina.
Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Argentina",W2754239300
3745,24354313,"IFEVA, Departamento de Ecología, Facultad de Agronomía, Universidad de Buenos Aires, Argentina.",W2131249194
1199,4210093681,"Plant Ecophysiology, Institute of Environmental Biology, Utrecht University, Padualaan 8, 3584 CH Utrecht, The Netherlands",W2578805989
6812,151201029,"Laboratorio de Investigaciones Ecológicas de las Yungas (LIEY) – CONICET, Facultad de Ciencias Naturales e Instituto Miguel Lillo, Universidad Nacional de Tucumán (UNT), C.C. 34 CP 4107, Yerba Buena, Tucumán, Argentina",W2432068731
2920,10108838,"Institute for Tropical Diseases Research, Universidad Nacional de Salta/CONICET, Alvarado 751, Oran 4530, Salta, Argentina",W2911289486
7858,151201029,"Centro de Investigaciones del Mar y la Atmósfera, Consejo Nacional de Investigaciones Científicas y Técnicas–Universidad de Buenos Aires, UMI–Instituto Franco–Argentino sobre Estudios de Clima y sus Impactos/CNRS, Buenos Aires, Argentina",W2096706322
932,151201029,"UMR 5539, Université Montpellier II, Montpellier 34095, France",W1835592430
6572,151201029,"CIDCA (Centro de Investigación y Desarrollo en Criotecnología de Alimentos), Facultad de Ciencias Exactas-Universidad Nacional de La Plata – Centro Científico Tecnológico La Plata (CCT-La Plata) CONICET- CICPBA- 47 y 116 S/Nº, La Plata B1900AJJ, Buenos Aires, Argentina",W2604357601
3388,4141589,"Facultad de Ciencias Bioquímicas y Farmacéuticas Universidad Nacional de Rosario, CONICET  Suipacha 531 Rosario S2002LRK Argentina",W4225256952
641,24354313,"Universidad de Buenos Aires and CONICET, Buenos Aires, Argentina",W2046416025
9790,4141589,UNIVERSIDAD NACIONAL DE ROSARIO – ROSARIO,W3034152573
7850,24354313,"Facultad de Ciencias Exactas, Universidad de Buenos Aires, Argentina",W2058768367
6349,39553462,"Argentinean National Council for Science and Technology Research (CONICET), National University of San Juan, San Juan, Argentina",W2133142067
6793,4210102807,"1,2  1Department of Informatics, University of Bergen, Pb. 7803, N-5020 Bergen, Norway, 2Computational Biology Unit, Uni Computing, Uni Research, Pb. 7810, N-5020 Bergen, Norway, 3Escuela de Ciencia y Tecnología, Universidad Nacional de San Martín, Martín de Irigoyen 3100, 1650 San Martín, Argentina and 4Department of Molecular Biology, University of Bergen, Pb. 7803, N-5020 Bergen, Norway",W2102648626
2133,4210145890,"Department of Chemistry and Biochemistry, Worcester Polytechnic Institute, Worcester, MA, USA",W1994677299
6572,874386039,"CIDCA (Centro de Investigación y Desarrollo en Criotecnología de Alimentos), Facultad de Ciencias Exactas-Universidad Nacional de La Plata – Centro Científico Tecnológico La Plata (CCT-La Plata) CONICET- CICPBA- 47 y 116 S/Nº, La Plata B1900AJJ, Buenos Aires, Argentina",W2604357601
1915,4210109836,"La Plata, Instituto de Física",W1985520047
6793,4432739,"1,2  1Department of Informatics, University of Bergen, Pb. 7803, N-5020 Bergen, Norway, 2Computational Biology Unit, Uni Computing, Uni Research, Pb. 7810, N-5020 Bergen, Norway, 3Escuela de Ciencia y Tecnología, Universidad Nacional de San Martín, Martín de Irigoyen 3100, 1650 San Martín, Argentina and 4Department of Molecular Biology, University of Bergen, Pb. 7803, N-5020 Bergen, Norway",W2102648626
1207,4210131661,"Contribution from the Departamento de Química Orgánica, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires, PROPLAME-CONICET, Ciudad Universitaria-Pabellón II, 1428 Buenos Aires, Argentina, Department of Molecular Biology, Max Planck Institute for Biophysical Chemistry, Am Fassberg 11, D-37077 Göttingen, Germany, and Department of Chemistry and Biochemistry, Graduate School of Engineering, Kyushu University, Higashi-ku, 812, Japan",W2008351625
9167,151201029,"Centro de Investigaciones en Química Biológica de Córdoba (CIQUIBIC, UNC-CONICET), Departamento de Química Biológica, Facultad de Ciencias Químicas, Universidad Nacional de Córdoba, Argentina",W2583008882
8970,4210134950,Aves Argentinas - Asociación Ornitológica del Plata,W4395319704
8782,151201029,"LEMIT-CIC Laboratory, CONICET and Engineering Faculty, National University of La Plata, La Plata, Argentina",W2781592610
6493,2802359038,"Center of Osteoarticular Pathology, Italian Hospital, Gasc#{243}n 450, Buenos Aires, Argentina.",W4239607384
641,151201029,"Universidad de Buenos Aires and CONICET, Buenos Aires, Argentina",W2046416025
3388,151201029,"Facultad de Ciencias Bioquímicas y Farmacéuticas Universidad Nacional de Rosario, CONICET  Suipacha 531 Rosario S2002LRK Argentina",W4225256952
7206,166401450,"Multidisciplinary Institute of Plant Biology, Pollution and Bioindicator section, Faculty of Physical and Natural Sciences, National University of Córdoba, Av. Vélez Sársfield 1611, X5016CGA Córdoba, Argentina.",W2033962562
2994,29406707,"Faculty of Medical Sciences, Pontificia Universidad Católica Argentina, Aires, Argentina",W2960257281
1832,874386039,"Instituto de Investigaciones Fisicoquímicas Teóricas y Aplicadas (INIFTA), Departamento de Química, Facultad de Ciencias Exactas, Universidad Nacional de La Plata, CONICET, CC. 16 Suc. 4, La Plata, Argentina",W2046721950
6997,151201029,"Centro Austral de Investigaciones Científicas (CADIC‐CONICET) B. Houssay 200, 9410, Ushuaia Tierra del Fuego Argentina",W2084088399
7199,2801749607,"Laboratory of Neuronal Plasticity, Leloir Institute—CONICET, Buenos Aires, Argentina",W1956591954
8727,4210086432,"IANIGLA, CCT-CONICET, Mendoza, Argentina",W2781749728
3877,10108838,"Geologisches Institut, Universität Karlsruhe, P.O. Box 6980, D-76128 Karlsruhe, Germany",W2140809387
5409,166401450,"Instituto Multidisciplinario de Biología Vegetal, CONICET – Universidad Nacional de Córdoba, Casilla de Correo 495, 5000, Córdoba, Argentina",W1989196859
5581,4210112829,"CIQUIBIC-CONICET, Departamento de Química Biológica, Facultad de Ciencias Químicas, Universidad Nacional de Córdoba, 5000 Córdoba, Argentina",W2131467546
1329,36234482,"Department of Chemistry and Biochemistry, 160 Hughes Hall, Miami University, Oxford, Ohio 45056, Department of Cellular and Molecular Medicine, University of Bristol School of Medical Sciences, University Walk, Bristol BS8 1TD, United Kingdom, and Molecular Biology Division, IBR, CONICET, and Biophysics Section, Universidad Nacional de Rosario, Suipacha 531, S2002LRK Rosario, Argentina",W2146956670
1207,151201029,"Contribution from the Departamento de Química Orgánica, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires, PROPLAME-CONICET, Ciudad Universitaria-Pabellón II, 1428 Buenos Aires, Argentina, Department of Molecular Biology, Max Planck Institute for Biophysical Chemistry, Am Fassberg 11, D-37077 Göttingen, Germany, and Department of Chemistry and Biochemistry, Graduate School of Engineering, Kyushu University, Higashi-ku, 812, Japan",W2008351625
6633,53241121,"INQUIMAE and Departamento de Química Inorgánica, Analítica y Química Física, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires, Ciudad Universitaria Pabellón II 3er Piso, C1428EHA Buenos Aires, Argentina",W2020588497
8387,4210159438,"Instituto de Investigaciones Biotecnológicas – Instituto Tecnológico de Chascomús (IIB-INTECH), Universidad Nacional de San Martín (UNSAM) – Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Buenos Aires, Argentina",W2747985019
6953,151201029,"Centro de Plásticos, Instituto Nacional de Tecnología Industrial (INTI), Avenida General Paz 5445, B1650KNA San Martín Buenos Aires, Argentina",W2086215015
7074,151201029,"Fundación Instituto Leloir–National Research Council for Science and Technology (CONICET), Buenos Aires 1405, Argentina;",W2340257497
5853,166401450,"Instituto de Investigación Médica Mercedes y Martín Ferreyra and Centro de Microscopía Electrónica Universidad Nacional de Córdoba, Córdoba Argentina",W2028245509
8243,151201029,"Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Universidad Nacional de General San Martín, Buenos Aires, Argentina",W1992224709
4306,151201029,"CONICET, Facultad de Ciencias Naturales , Universidad Nacional de Tucumán , Casilla de correo 1 (correo central), San Miguel de Tucumán, 4000, Argentina",W2081353462
1953,189075073,"INTEMA (Universidad Nacional de Mar del Plata – CONICET), Juan B. Justo 4302, 7600 Mar del Plata, Argentina",W2026540022
3362,4210158427,"Facultad de Ciencias Naturales e Instituto Miguel Lillo, Universidad Nacional de Tucumán, Miguel Lillo 205, 4000 S. M. de Tucumán, Argentina Consejo Nacional de Investigaciones Cientificas y Tecnicas, Fundacion Miguel Lillo S.M. de Tucuman Argentina.",W4292648769
7990,56858762,"Department of Computer Science, Universidad de Chile, 2120 Blanco Encalada Av., CP 837-0459 Santiago, Chile",W1982158939
7226,4210112930,"IFEG, FaMAF, CONICET, UNC, X5000HUA Córdoba, Argentina",W2560140212
8137,53241121,"CONICET, Departamento de Industrias, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires, Intendente Güiraldes 2160, Ciudad Universitaria, C1428EGA, Buenos Aires, Argentina",W2068990054
3561,24354313,Universidad de Buenos Aires,W1495649160
6542,3121987637,"Centro Internacional de Métodos Computacionales en Ingenierı´a (CIMEC-INTEC), Universidad Nacional del Litoral (UNL), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Güemes 3450, S3000GLN, Santa Fe, Argentina",W2002813019
5331,3130083209,"From Southern Scientific Foundation, Lomas de Zamora, Buenos Aires, and School of Medicine, University of Buenos Aires, Buenos Aires, Argentina",W2113199806
1953,151201029,"INTEMA (Universidad Nacional de Mar del Plata – CONICET), Juan B. Justo 4302, 7600 Mar del Plata, Argentina",W2026540022
932,15881080,"Laboratorio de Biología Celular y Molecular-Instituto de Histología y Embriología, Facultad de Ciencias Médicas,Universidad Nacional de Cuyo-CONICET, Mendozam 5500, Argentina",W1835592430
4402,151201029,"IEF5-Photovoltaik, Forschungszentrum Jülich, 52425 Jülich, Germany, and Departamento de Electrotecnia, Universidad Nacional del Comahue-CONICET, Buenos Aires 1400, 8300 Neuquen, Argentina",W2047227381
1773,4141589,"Departamento de QuímicaAnalítica, Facultad de Ciencias Bioquímicas y Farmacéuticas, Universidad Nacional de Rosario, Instituto de Química de Rosario (IQUIR-CONICET), Suipacha 531, Rosario S2002LRK, Argentina",W2024777136
3573,151201029,"Instituto de Investigaciones Biomédicas en Retrovirus y Sida (INBIRS), Facultad de Ciencias Médicas, Universidad de Buenos Aires-Consejo de Investigaciones Científicas y Técnicas (CONICET), Paraguay 2155, Piso 11, C1121ABG, Buenos Aires, Argentina",W4390700913
7649,4210129969,"Grupo de Materiales Compuestos Termoplásticos (CoMP), Instituto de Investigaciones en Ciencia y Tecnología de Materiales (INTEMA), Facultad de Ingeniería, Universidad Nacional de Mar del Plata (UNMdP) y Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Colón 10850, B7608FLC, Mar del Plata, Argentina",W2896867089
4124,2883434090,"Centro Atómico Bariloche, Instituto Balseiro, 8400-S.C. de Bariloche, R.N., Argentina",W1988950526
7066,228664971,Instituto de Investigaciones Biotecnológicas-Instituto Tecnológico Chascomús; Universidad Nacional de General San Martín-Consejo Nacional de Investigaciones Científicas y Técnicas (IIB-INTECH/UNSAM-CONICET); Chascomús Argentina,W2131727684
9491,4210159438,"Laboratory of Mycology and Mushroom Cultivation. Instituto Tecnológico de Chascomús (IIB-INTECH), Universidad Nacional de San Martín (UNSAM)-Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), CC 164. 7130, Chascomús, Buenos Aires, Argentina",W2931670742
7139,151201029,"Centro de Investigaciones Geológicas (CONICET-UNLP) and División Científica de Geología Museo de La Plata, La Plata, Argentina",W2030567892
6574,4210086432,"División Aracnología, Museo Argentino de Ciencias Naturales “Bernardino Rivadavia”—CONICET, Avenida Ángel Gallardo 470, CP: 1405DJR, C.A.B.A., Buenos Aires, Argentina.",W2724867416
2900,4210157473,"Oncology Laboratory, Institute of Experimental Medicine and Biology, CONICET, CCT, 5500, Mendoza, Argentina",W2622788094
6628,151201029,"Laboratorio Ecotono, Centro Regional Universitario Bariloche, Universidad Nacional del Comahue INIBIOMA-CONICET, Quintral 1250, 8400, Bariloche, Argentina.",W1998918998
7144,151201029,"†CONICET, Instituto Superior de Entomología, Facultad de Ciencias Naturales e Instituto Miguel Lillo, Universidad Nacional de Tucumán, Calle Miguel Lillo 205, SM Tucumán, Tucumán, Argentina",W2058111696
7850,24354313,"Facultad de Ciencias Exactas, Universidad de Buenos Aires, Argentina",W2058768367
3751,874386039,"Instituto de Investigaciones Fisicoquímicas Teóricas y Aplicadas (INIFTA), Universidad Nacional de La Plata - CONICET, Sucursal 4 Casilla de Correo 16 (1900), La Plata, Argentina",W2084396182
7206,4210151079,"Multidisciplinary Institute of Plant Biology, Pollution and Bioindicator section, Faculty of Physical and Natural Sciences, National University of Córdoba, Av. Vélez Sársfield 1611, X5016CGA Córdoba, Argentina.",W2033962562
7779,2801749607,"Fundación Instituto Leloir and Instituto de Investigaciones Bioquímicas de Buenos Aires (IIBBA-CONICET), Avda. Patricias Argentinas 435, Buenos Aires C1405BWE, Argentina. Electronic address: jcaramelo@leloir.org.ar.",W980126877
4018,151201029,"Instituto de Investigaciones Biotecnológicas, Instituto Tecnológico de Chascomús, CONICET/UNSAM, Universidad Nacional de General San Martı́n, Buenos Aires, Argentina",W2104802032
3668,4210153948,"Unidad Integrada EEA Balcarce, Instituto Nacional de Tecnología Agropecuaria (INTA), Facultad de Ciencias Agrarias Universidad Nacional de Mar del Plata CC 276 (7620) Balcarce Buenos Aires Argentina",W2074444386
